Gender,Presence of Two or More Speakers,BACKGROUND NOISE (Noise/Echo/Static/Music/Studio Audience),pitch_min(min),diff( pitch),In_min(min),diff (intensity),WER-Amazon
,,,,,,,
,,,,,,,
0,0,0,75.0259458,522.7832504,31.74816316,47.01369638,1
,,,,,,,
1,0,0,77.35335936,511.2918921,48.39330586,31.02501555,1
,,,,,,,
0,0,5,85.29207499,502.4175019,8.39689163,75.23593808,0
,,,,,,,
1,0,5,75.4086381,514.4164669,42.25993337,38.25702655,0
,,,,,,,
1,0,10,75.77827876,520.6244026,31.10734384,47.96412848,0
,,,,,,,
0,0,5,80.07662348,137.6692222,39.3706701,42.02266829,0
,,,,,,,
1,0,10,76.18763762,505.8798823,45.63151199,34.16190691,1
,,,,,,,
0,0,1,76.95608657,508.2818282,27.18337053,55.12041422,1
,,,,,,,
1,0,0,76.83809057,458.8322045,34.99978893,48.7143751,1
,,,,,,,
1,0,0,76.17518158,493.8121569,41.51086468,39.49300076,1
,,,,,,,
1,0,2,75.1532576,511.3613429,30.6206001,45.56263654,0
,,,,,,,
1,0,0,77.7094645,519.5013842,32.38948233,45.7986791,1
,,,,,,,
0,0,0,79.05630772,297.5137151,39.38614748,38.99461871,1
,,,,,,,
0,0,10,76.57340162,437.1351713,29.86810863,49.89186318,0
,,,,,,,
0,0,0,75.01543077,508.057142,37.19364169,43.49897034,0
,,,,,,,
2,0,4,76.20755013,522.3273361,29.79927351,50.66487835,1
,,,,,,,
0,0,0,75.01932253,499.8038189,33.64746727,46.94729468,0
,,,,,,,
2,0,11,75.77873135,496.2385469,25.39633484,53.85597295,0
,,,,,,,
1,0,2,75.09658699,487.0311857,33.47401541,45.94654745,1
,,,,,,,
1,0,0,76.12919315,512.4991103,40.69990242,40.85992088,1
,,,,,,,
2,0,0,75.06888105,468.2852968,38.41014266,40.95142463,0
,,,,,,,
0,0,12,82.32257987,330.3323089,45.06898421,33.12444433,0
,,,,,,,
0,0,1,75.50612731,523.9603552,31.47009081,46.5092516,0
,,,,,,,
1,0,0,75.01065207,496.4885767,26.24195529,54.17582316,1
,,,,,,,
0,0,13,74.99708442,432.2622962,42.55905087,35.38140486,1
,,,,,,,
0,0,14,75.34129344,523.8639247,35.13237237,47.82610344,0
,,,,,,,
1,0,15,105.0785715,473.3188463,45.63109259,31.3345926,0
,,,,,,,
2,0,0,75.61782381,523.1002418,38.01484506,41.24808147,1
,,,,,,,
0,0,0,76.28622607,467.5102657,29.94619707,47.06009894,1
,,,,,,,
2,0,0,75.35677294,520.5300184,43.73079954,33.2702142,1
,,,,,,,
2,0,16,77.35230045,456.9059254,42.44782315,34.81578943,0
,,,,,,,
2,0,17,83.7002487,268.307279,32.00928113,51.46177461,1
,,,,,,,
0,0,0,84.48156913,513.1047648,39.67813863,42.15300999,0
,,,,,,,
0,0,1,75.14790765,519.9558617,34.47339823,49.0574919,1
,,,,,,,
1,0,0,75.10839024,518.6349525,31.72561903,49.99496868,1
,,,,,,,
2,0,0,95.47076733,491.6066429,25.64907462,58.16023013,0
,,,,,,,
1,0,0,77.33105781,501.8479651,24.33756051,54.17336718,1
,,,,,,,
